space_name,address,postcode,brand,checkin,checkout
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Blacksmith Store,2026-04-24,2026-04-26
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Heaven Can Wait Pop up,2026-04-23,2026-04-26
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Chiaroscuro Gallery,2026-04-20,2026-04-27
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Runna Race Hub,2026-04-21,2026-04-28
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,"Beats, Grime & Life",2026-01-09,2026-04-30
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,SEASZN 7 Years pop up,2026-05-02,2026-05-03
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Hades Wool,2026-04-29,2026-05-04
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,JD Sport x ASICS!,2026-04-30,2026-05-05
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Anika Birchall PR Press Day,2026-05-05,2026-05-06
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Orange bakery,2026-05-09,2026-05-10
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Pop Fiction Pop Ups,2026-05-05,2026-05-10
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,This Is Cow - Coffee Shop,2026-05-08,2026-05-11
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,Suunto,2026-05-11,2026-05-13
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,Philippa Bradley Agencies Limited,2026-05-13,2026-05-15
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Harrod UK,2026-04-13,2026-05-15
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,S.theagency,2026-05-14,2026-05-16
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Many Many Clothes Summer Pop Up,2026-05-07,2026-05-17
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Pianella's,2026-05-16,2026-05-17
"The Sidings, Waterloo — The Retail Space (UG07)",UG07 The Sidings Waterloo,SE1 7LY,K-pop Korner London,2026-02-20,2026-05-20
Eastcastle Street - The Grand Store,36 Eastcastle Street,W1W 8DP,Order and Chaos,2026-05-20,2026-05-20
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Creator Commerce IRL,2026-05-18,2026-05-21
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,LEON,2026-05-18,2026-05-21
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Many Many Clothes Summer Pop Up,2026-05-18,2026-05-21
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,MATTEAU | PFW September Showroom,2026-05-18,2026-05-21
"Kingsland Road, Dalston - The Raw Glass Shop",259 Kingsland Road,E2 8AS,Ultralight London,2026-05-22,2026-05-23
Eastcastle Street - The Grand Store,36 Eastcastle Street,W1W 8DP,Order and Chaos,2026-05-21,2026-05-23
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Starbucks NPD Chocolate stand,2026-05-22,2026-05-23
"Monmouth Street, Covent Garden - Black Front Boutique",6 Monmouth Street,WC2H 9HB,APR,2026-05-23,2026-05-25
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Recovered L,2026-05-22,2026-05-25
